# category	path	count
# Generated by tools/partition/partition_literals.py --write-baseline; do not hand-edit.
arn-literal	src/main/java/io/github/hectorvent/floci/core/common/IamEnforcementFilter.java	8
arn-literal	src/main/java/io/github/hectorvent/floci/services/apigateway/ApiGatewayController.java	2
arn-literal	src/main/java/io/github/hectorvent/floci/services/apigateway/ExecuteApiSigV4Authorizer.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/applicationautoscaling/ApplicationAutoScalingService.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/appsync/graphql/auth/IamAuthValidator.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/bedrockagentcorecontrol/BedrockAgentCoreCredentialProviderService.java	4
arn-literal	src/main/java/io/github/hectorvent/floci/services/bedrockagentcorecontrol/BedrockAgentCoreToolsService.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/cloudformation/SamTransformProcessor.java	3
arn-literal	src/main/java/io/github/hectorvent/floci/services/cloudformation/provisioners/ApiGatewayDomainCfnProvisioner.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/cloudformation/provisioners/CfnResourceDispatcher.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/cloudformation/provisioners/CodeBuildCfnProvisioner.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/cloudformation/provisioners/RedshiftClusterCfnProvisioner.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/cloudhsmv2/CloudHsmV2JsonHandler.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/cloudtrail/CloudTrailService.java	7
arn-literal	src/main/java/io/github/hectorvent/floci/services/cloudwatch/logs/CloudWatchLogsCrossAccountService.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/cloudwatch/logs/CloudWatchLogsService.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/codeartifact/CodeArtifactController.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/cognito/CognitoService.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/connect/ConnectService.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/controlcatalog/ControlCatalogService.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/controltower/ControlTowerControlService.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/controltower/ControlTowerService.java	4
arn-literal	src/main/java/io/github/hectorvent/floci/services/controltower/SeededLandingZoneFactory.java	2
arn-literal	src/main/java/io/github/hectorvent/floci/services/datasync/DataSyncService.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/detective/DetectiveService.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/ec2/Ec2IpamService.java	3
arn-literal	src/main/java/io/github/hectorvent/floci/services/ec2/Ec2Service.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/ecs/EcsService.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/eks/EksClusterManager.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/eks/EksWorkerAuthentication.java	2
arn-literal	src/main/java/io/github/hectorvent/floci/services/elasticache/ElastiCacheQueryHandler.java	2
arn-literal	src/main/java/io/github/hectorvent/floci/services/emrserverless/EmrServerlessService.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/guardduty/GuardDutyService.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/iam/AwsManagedPolicies.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/iam/IamPolicyEvaluator.java	4
arn-literal	src/main/java/io/github/hectorvent/floci/services/iam/IamService.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/iam/SAMLAssertionVerifier.java	2
arn-literal	src/main/java/io/github/hectorvent/floci/services/iam/SAMLProviderService.java	2
arn-literal	src/main/java/io/github/hectorvent/floci/services/kinesisanalytics/KinesisAnalyticsV2JsonHandler.java	2
arn-literal	src/main/java/io/github/hectorvent/floci/services/kinesisanalytics/container/FlinkContainerManager.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/kms/KmsService.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/lambda/LambdaController.java	1
arn-literal	src/main/java/io/github/hectorvent/floci/services/lambda/LambdaLayerService.java	3
arn-literal	src/main/java/io/github/hectorvent/floci/services/lambdamicrovms/LambdaMicrovmsController.java	3
arn-literal	src/main/java/io/github/hectorvent/floci/services/lambdamicrovms/LambdaMicrovmsService.java	3
